date,price
2021-02-28,-0.002090463531577269
2021-03-31,0.026915635157605644
2021-04-30,0.04758650896344818
2021-05-31,0.02903634730323401
2021-06-30,0.04911317832271744
2021-07-31,0.005663845462867023
2021-08-31,0.048097630875084896
2021-09-30,0.014905542112297221
2021-10-31,0.013027905421506336
2021-11-30,-0.0036216605818407688
2021-12-31,0.057292816978128824
2022-01-31,-0.0417036126347653
2022-02-28,0.019504475616877404
2022-03-31,0.057907245409444474
2022-04-30,0.0242653019359933
2022-05-31,0.03511328100241329
2022-06-30,0.07636905136305994
2022-07-31,-0.05938530819545884
2022-08-31,0.04847075497486841
2022-09-30,-0.020769175499227188
2022-10-31,-0.0017495694981577437
2022-11-30,0.018117430296233472
2022-12-31,-0.018481472790261577
2023-01-31,-0.030935240894577665
2023-02-28,0.02833276274404528
2023-03-31,0.026407178893248506
2023-04-30,0.03320091791729651
2023-05-31,0.040066104417478376
2023-06-30,-0.011709262404339005
2023-07-31,-0.010468298089818862
2023-08-31,0.03178084384276736
2023-09-30,0.06350220943233964
2023-10-31,0.0067315030054158065
2023-11-30,-0.011158062404979963
2023-12-31,0.003932731383635701
2024-01-31,0.0002574423332331044
2024-02-29,0.055686719433184484
2024-03-31,0.0007031232752658934
2024-04-30,0.06387790481798561
2024-05-31,0.077840700454618
2024-06-30,0.06708676822789283
2024-07-31,0.04618328081303491
2024-08-31,-0.0010585534285170173
2024-09-30,0.0614880832322271
2024-10-31,-0.03744362565137083
2024-11-30,0.1045736526082508
2024-12-31,0.046947726553797864
